OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
1128,2383,5212902,Auburn Game Farm Park,Park Site,Washington State Parks,State,City of Auburn,City,City of Auburn,City,11074.0575305201,3820152.60241032
1129,7106,3251205,Rainier Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,86.2883301335591,412.302803639125
1130,5015,5242213,Forest Glen East Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,7100.50371487016,335223.000288157
1131,15334,4232304,Hazelnut Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,420.168666407957,10436.3136651613
1132,15340,3231803,Corbin Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2429.57355917113,147432.643365806
1133,4285,6260704,Cold Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,25202.2362771912,6091110.22600254
1134,8068,2223602,Forest Glen Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1640.2176662291,163631.168031429
1135,3007,6232903,Belmondo Reach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,7592.70056837264,1036117.79929771
1136,7129,4251907,Westlake Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1283.72147147097,59291.7050425181
1137,2393,5211804,Indian Tom Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,563.906032992235,19103.5586087671
1138,6998,3262502,Broadview Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,361.053714995522,4323.1148753126
1139,2733,5263302,Spinney Homestead Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2013.24323831848,234087.646453735
1140,2362,5210701,Dykstra Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1215.65467618403,80847.4535284327
1141,2414,3260201,Richmond Beach Saltwater Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,11406.8320878696,1746621.49005168
1142,7276,5250507,Cedar View Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,376.34505430076,7447.66560951186
1143,8144,2222503,Lost Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,9987.25035123323,887251.843338316
1144,2339,5221701,Turnkey Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2537.38184832437,278900.193920778
1145,7035,4253307,Firehouse Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,515.997865690367,14506.9015488402
1146,7178,4240914,Stevens Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,455.353773515945,8069.81257746984
1147,3015,6220402,Mouth Of Taylor Reach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,16505.58497011,1463869.27859526
1148,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,3577.01249740446,386485.711573298
1149,2506,4230901,Hilltop Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,2850.15876766529,321258.301833618
1150,2631,7202001,Enumclaw Sportsman Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,3849.9078034496,560194.322145987
1151,7865,6253602,Thirty Acres Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,5299.74317344298,1301821.51782232
1152,5058,8230401,Tollgate Farm - North Bend,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,25274.4963277601,8911038.68628834
1153,2444,3211102,Dumas Bay Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,6428.15170463854,1218881.95629149
1154,7215,4243506,Sturtevant Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2576.37070626597,122287.933888122
1155,7263,5222002,East Hill Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1903.1802380066,203014.4582791
1156,15336,4231504,Riverton Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,2034.27872084396,212282.105675504
1157,2415,3260101,Hillwood Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,3123.81274104269,435238.51273242
1158,15371,4231103,Skyway Farms,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,347.240118730214,6493.55973097373
1159,7306,3221601,Raabs Lagoon Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,7459.9882524224,766143.124388267
1160,2728,6202201,Mahler Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,4467.07323066831,1221499.16514835
1161,7148,4253007,Highland Drive Parkway,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,579.2466065718,3331.31988973804
1162,7112,3251503,Magnolia Tidelands Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,45230.8681044052,2953046.07972221
1163,2308,4252701,Viretta Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1714.84995208982,79937.584419838
1164,7850,4262904,Hubbard Homestead Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1739.86096008,162797.157576873
1165,6946,4240303,East Portal Viewpoint,Park Site,Washington State DOT,State,City of Seattle,City,City of Seattle,City,2312.13334922905,303605.91013365
1166,8226,3233105,Mukai Barreling Plant,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1513.61135499681,81884.3510500223
1167,6973,3251105,Marvins Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,323.012026416799,4483.87957922342
1168,5317,5222302,Friendship Park,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,635.416920820645,25929.3894328357
1169,2801,4243102,Highland Park Playground - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2160.86115838502,276634.127660756
1170,2350,5212904,Ballard Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,739.975463074273,27516.7154123133
1171,6913,5240204,Robinsglen Nature Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2203.48784695584,229672.839714639
1172,2416,3252502,Myrtle Edwards Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,6092.12472270849,506712.407595154
1173,2636,5260902,Brickyard Road Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1991.41847311957,144356.10633319
1174,5165,7242605,Autumn Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,561.063485135398,19374.324261234
1175,2825,7230301,Instebo Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,889.382433630657,29288.2223054428
1176,5082,5260403,Bloomberg Hill Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1313.35005426844,118475.354475035
1177,2616,5251001,Grass Lawn Community Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,4628.16658542308,1237973.30004213
1178,7304,5222102,Wilson Playfields,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,3533.7881634818,459044.982898599
1179,2326,5221901,Mill Creek Earthworks Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,26486.5304775972,4937662.05758471
1180,7190,3242405,Puget Creek Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4984.51515917486,320979.914594867
1181,2709,5261501,Northshore Athletic Fields,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4672.28367353915,831894.450840346
1182,15353,6220201,Taylor Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3483.22369994402,244595.872665609
1183,15337,4231505,Riverton Mini Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,569.541581219359,10457.4195939847
1184,2650,5243301,May Creek Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,33955.9781413882,6460682.64893799
1185,7237,4263201,Maple Leaf Community Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,509.507817369742,15985.3883094522
1186,15370,6211601,Keevie Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,9634.19633410552,2764441.21166662
1187,5483,3220703,Paradise Valley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1898.19053862428,205756.255010004
1188,2683,6233001,Maple Valley Heights Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3137.75701489744,434931.576519561
