"County Name","Years","Census Tract","Smoke Days"
"King","AllYears","53033010900","6"
"King","AllYears","53033011001","6"
"King","AllYears","53033011002","6"
"King","AllYears","53033011101","6"
"King","AllYears","53033011102","6"
"King","AllYears","53033011200","5.86"
"King","AllYears","53033011300","5.86"
"King","AllYears","53033011401","5.86"
"King","AllYears","53033011402","5.86"
"King","AllYears","53033011500","5.86"
"King","AllYears","53033011600","5.86"
"King","AllYears","53033011700","6"
"King","AllYears","53033011800","6"
"King","AllYears","53033011900","6"
"King","AllYears","53033012000","5.86"
"King","AllYears","53033012100","5.86"
"King","AllYears","53033020100","6"
"King","AllYears","53033020200","6"
"King","AllYears","53033020300","6.14"
"King","AllYears","53033020401","6.29"
"King","AllYears","53033020402","6.29"
"King","AllYears","53033020500","6.29"
"King","AllYears","53033020600","6.14"
"King","AllYears","53033020700","6.14"
"King","AllYears","53033020800","6"
"King","AllYears","53033020900","6.14"
"King","AllYears","53033021000","6.14"
"King","AllYears","53033021100","6.14"
"King","AllYears","53033021300","6.29"
"King","AllYears","53033021400","6.29"
"King","AllYears","53033021500","6.29"
"King","AllYears","53033021600","6.29"
"King","AllYears","53033021700","6.29"
"King","AllYears","53033021802","6.43"
"King","AllYears","53033021803","6.29"
"King","AllYears","53033021804","6.29"
"King","AllYears","53033021903","6.29"
"King","AllYears","53033021904","6.43"
"King","AllYears","53033021905","6.29"
"King","AllYears","53033021906","6.43"
"King","AllYears","53033022001","6.29"
"King","AllYears","53033022003","6.29"
"King","AllYears","53033022005","6.29"
"King","AllYears","53033022006","6.29"
"King","AllYears","53033022101","6.29"
"King","AllYears","53033022102","6.29"
"King","AllYears","53033022201","6.29"
"King","AllYears","53033022202","6.29"
"King","AllYears","53033022203","6.29"
"King","AllYears","53033022300","6.29"
"King","AllYears","53033022400","6.29"
"King","AllYears","53033022500","6.29"
"King","AllYears","53033022603","6.29"
"King","AllYears","53033022604","6.29"
"King","AllYears","53033022605","6.43"
"King","AllYears","53033022606","6.43"
"King","AllYears","53033022701","6.29"
"King","AllYears","53033022702","6.29"
"King","AllYears","53033022703","6.29"
"King","AllYears","53033022801","6.43"
"King","AllYears","53033022802","6.43"
"King","AllYears","53033022803","6.43"
"King","AllYears","53033022901","6.57"
"King","AllYears","53033022902","6.57"
"King","AllYears","53033023000","6.57"
"King","AllYears","53033023100","6.57"
"King","AllYears","53033023201","6.57"
"King","AllYears","53033023202","6.57"
"King","AllYears","53033023300","6.57"
"King","AllYears","53033023401","6.57"
"King","AllYears","53033023403","6.57"
"King","AllYears","53033023404","6.57"
"King","AllYears","53033023500","6.29"
"King","AllYears","53033023601","6.29"
"King","AllYears","53033023603","6.43"
"King","AllYears","53033023604","6.43"
"King","AllYears","53033023700","6.29"
"King","AllYears","53033023801","6.29"
"King","AllYears","53033023803","6.29"
"King","AllYears","53033023804","6.29"
"King","AllYears","53033023900","6.14"
"King","AllYears","53033024000","6.29"
"King","AllYears","53033024100","6.29"
"King","AllYears","53033024200","6.14"
"King","AllYears","53033024300","6.14"
"King","AllYears","53033024400","6.14"
"King","AllYears","53033024500","6.14"
"King","AllYears","53033024601","6"
"King","AllYears","53033024602","6"
"King","AllYears","53033024701","6.14"
"King","AllYears","53033024702","6.14"
"King","AllYears","53033024800","6.43"
"King","AllYears","53033024901","6.29"
"King","AllYears","53033024902","6.57"
"King","AllYears","53033024903","6.57"
"King","AllYears","53033025001","6.29"
"King","AllYears","53033025003","6.57"
"King","AllYears","53033025005","6.29"
"King","AllYears","53033025006","6.71"
"King","AllYears","53033025101","6.14"
"King","AllYears","53033025102","6"
"King","AllYears","53033025200","6.14"
"King","AllYears","53033025301","6.14"
"King","AllYears","53033025302","6.14"
"King","AllYears","53033025400","6.14"
"King","AllYears","53033025500","6.14"
"King","AllYears","53033025601","6.14"
"King","AllYears","53033025602","6"
"King","AllYears","53033025701","6.14"
"King","AllYears","53033025702","6"
"King","AllYears","53033025803","6.14"
"King","AllYears","53033025804","6"
"King","AllYears","53033025805","6.14"
"King","AllYears","53033025806","6.14"
"King","AllYears","53033026001","6.14"
"King","AllYears","53033026002","6.14"
"King","AllYears","53033026100","6.14"
"King","AllYears","53033026200","6.14"
"King","AllYears","53033026300","6"
"King","AllYears","53033026400","6"
"King","AllYears","53033026500","5.86"
"King","AllYears","53033026600","5.86"
"King","AllYears","53033026700","5.86"
"King","AllYears","53033026801","5.86"
"King","AllYears","53033026802","5.86"
"King","AllYears","53033027000","5.86"
"King","AllYears","53033027100","6"
"King","AllYears","53033027200","6.14"
"King","AllYears","53033027300","6.14"
"King","AllYears","53033027400","5.86"
"King","AllYears","53033027500","5.86"
"King","AllYears","53033027600","5.86"
"King","AllYears","53033027701","5.71"
"King","AllYears","53033027702","6"
"King","AllYears","53033027800","6"
"King","AllYears","53033027900","6"
"King","AllYears","53033028000","6"
"King","AllYears","53033028100","6.14"
"King","AllYears","53033028200","6.14"
"King","AllYears","53033028300","6.14"
"King","AllYears","53033028402","6"
"King","AllYears","53033028403","6.14"
"King","AllYears","53033028500","6"
"King","AllYears","53033028600","6"
"King","AllYears","53033028700","6"
"King","AllYears","53033028801","6"
"King","AllYears","53033028802","6"
"King","AllYears","53033028901","6.14"
"King","AllYears","53033028902","6.14"
"King","AllYears","53033029001","6.14"
"King","AllYears","53033029003","6.14"
"King","AllYears","53033029004","6.14"
"King","AllYears","53033029101","6.14"
"King","AllYears","53033029102","6.14"
"King","AllYears","53033029203","6.29"
"King","AllYears","53033029204","6.29"
"King","AllYears","53033029205","6.29"
"King","AllYears","53033029206","6.29"
"King","AllYears","53033029303","6.29"
"King","AllYears","53033029304","6.14"
"King","AllYears","53033029305","6.29"
"King","AllYears","53033029306","6.14"
"King","AllYears","53033029307","6.29"
"King","AllYears","53033029403","6.14"
"King","AllYears","53033029405","6.14"
"King","AllYears","53033029406","6.29"
"King","AllYears","53033029407","6.14"
"King","AllYears","53033029408","6.14"
"King","AllYears","53033029502","6.29"
"King","AllYears","53033029503","6.14"
"King","AllYears","53033029504","6.14"
"King","AllYears","53033029601","6.29"
"King","AllYears","53033029602","6.29"
"King","AllYears","53033029700","6.29"
"King","AllYears","53033029801","6.14"
"King","AllYears","53033029802","6.14"
"King","AllYears","53033029901","6.14"
"King","AllYears","53033029902","6.14"
"King","AllYears","53033030003","6.14"
"King","AllYears","53033030004","6.14"
"King","AllYears","53033030005","6.14"
"King","AllYears","53033030006","6.14"
"King","AllYears","53033030100","6.14"
"King","AllYears","53033030201","6.14"
"King","AllYears","53033030202","6.14"
"King","AllYears","53033030304","6.14"
"King","AllYears","53033030305","6.14"
"King","AllYears","53033030306","6.14"
"King","AllYears","53033030308","6.14"
"King","AllYears","53033030309","6.14"
"King","AllYears","53033030310","6.14"
"King","AllYears","53033030311","6.14"
"King","AllYears","53033030312","6.14"
"King","AllYears","53033030313","6.14"
"King","AllYears","53033030314","6.14"
"King","AllYears","53033030401","6.14"
"King","AllYears","53033030403","6.14"
"King","AllYears","53033030404","6"
"King","AllYears","53033030501","6.14"
"King","AllYears","53033030503","6.14"
"King","AllYears","53033030504","6.14"
"King","AllYears","53033030600","6.14"
"King","AllYears","53033030700","6.14"
"King","AllYears","53033030801","6"
"King","AllYears","53033030802","6.14"
"King","AllYears","53033030901","6"
"King","AllYears","53033030902","6"
"King","AllYears","53033031000","6.43"
"King","AllYears","53033031100","6.14"
"King","AllYears","53033031202","6.57"
"King","AllYears","53033031204","6.57"
"King","AllYears","53033031205","6.29"
"King","AllYears","53033031206","6.29"
"King","AllYears","53033031301","6.57"
"King","AllYears","53033031302","6.57"
"King","AllYears","53033031400","6.57"
"King","AllYears","53033031501","6.57"
"King","AllYears","53033031502","7.14"
"King","AllYears","53033031601","6.57"
"King","AllYears","53033031603","6.43"
"King","AllYears","53033031604","6.43"
"King","AllYears","53033031605","6.43"
"King","AllYears","53033031703","6.29"
"King","AllYears","53033031704","6.29"
"King","AllYears","53033031705","6.29"
"King","AllYears","53033031706","6.29"
"King","AllYears","53033031800","6.29"
"King","AllYears","53033031903","6.43"
"King","AllYears","53033031904","6.71"
"King","AllYears","53033031906","6.57"
"King","AllYears","53033031907","6.29"
"King","AllYears","53033031908","6.29"
"King","AllYears","53033031909","6.29"
"King","AllYears","53033032002","6.43"
"King","AllYears","53033032003","6.57"
"King","AllYears","53033032005","6.57"
"King","AllYears","53033032006","6.57"
"King","AllYears","53033032007","6.43"
"King","AllYears","53033032008","6.43"
"King","AllYears","53033032010","6.43"
"King","AllYears","53033032011","6.43"
"King","AllYears","53033032102","6.57"
"King","AllYears","53033032103","6.71"
"King","AllYears","53033032104","6.71"
"King","AllYears","53033032203","6.43"
"King","AllYears","53033032207","6.71"
"King","AllYears","53033032208","6.71"
"King","AllYears","53033032210","6.43"
"King","AllYears","53033032211","6.71"
"King","AllYears","53033032212","6.57"
"King","AllYears","53033032213","6.57"
"King","AllYears","53033032214","6.71"
"King","AllYears","53033032215","6.57"
"King","AllYears","53033032307","6.43"
"King","AllYears","53033032309","6.43"
"King","AllYears","53033032311","6.43"
"King","AllYears","53033032313","6.57"
"King","AllYears","53033032315","6.43"
"King","AllYears","53033032316","6.57"
"King","AllYears","53033032317","6.43"
"King","AllYears","53033032318","6.43"
"King","AllYears","53033032319","6.43"
"King","AllYears","53033032320","6.43"
"King","AllYears","53033032321","6.43"
"King","AllYears","53033032322","6.43"
"King","AllYears","53033032323","6.43"
"King","AllYears","53033032324","6.43"
"King","AllYears","53033032325","6.43"
"King","AllYears","53033032326","6.43"
"King","AllYears","53033032327","6.57"
"King","AllYears","53033032328","6.43"
"King","AllYears","53033032329","6.43"
"King","AllYears","53033032401","6.57"
"King","AllYears","53033032402","6.43"
"King","AllYears","53033032500","6.71"
"King","AllYears","53033032601","6.43"
"King","AllYears","53033032602","6.43"
"King","AllYears","53033032702","6.86"
"King","AllYears","53033032703","6.43"
"King","AllYears","53033032704","6.29"
"King","AllYears","53033032800","6.86"
"Kitsap","AllYears","53035080101","5.57"
"Kitsap","AllYears","53035080102","5.57"
"Kitsap","AllYears","53035080200","5.57"
"Kitsap","AllYears","53035080300","5.71"
"Kitsap","AllYears","53035080400","5.71"
"Kitsap","AllYears","53035080500","5.71"
"Kitsap","AllYears","53035080600","5.57"
"Kitsap","AllYears","53035080700","5.57"
"Kitsap","AllYears","53035080800","5.57"
"Kitsap","AllYears","53035080900","5.57"
"Kitsap","AllYears","53035081000","5.71"
"Kitsap","AllYears","53035081100","5.57"
"Kitsap","AllYears","53035081200","5.71"
"Kitsap","AllYears","53035081400","5.71"
"Kitsap","AllYears","53035090101","5.71"
"Kitsap","AllYears","53035090102","5.86"
"Kitsap","AllYears","53035090201","5.71"
"Kitsap","AllYears","53035090202","5.71"
"Kitsap","AllYears","53035090300","5.71"
"Kitsap","AllYears","53035090400","5.57"
"Kitsap","AllYears","53035090501","5.71"
